feature,imp_2017_bin,imp_2018_bin,imp_2017_multi,imp_2018_multi,imp_rank_2017,imp_rank_2018,imp_mean,imp_rank_mean,imp_perm_2017_bin,imp_perm_2018_bin,imp_perm_rank_2017,imp_perm_rank_2018,imp_perm_mean,imp_perm_rank_mean,imp_perm_std_2017_bin,imp_perm_std_2018_bin,c2st_auc,c2st_auc_calibrated,c2st_auc_null,marginal_shift,separation_stability,instability,verdict,flip_corroborated,n_family_flips,cardinality,variance_2017,variance_2018,wasserstein_qn,mmd,ks_statistic,zero_fraction_mean,zero_fraction_2017,zero_fraction_2018,zero_fraction_delta,mutual_info_norm_2017,mutual_info_norm_2018,benign_shift,attack_shift,benign_shift_raw,attack_shift_raw,max_attack_shift,e1_agreement_rate,wasserstein_qn_calibrated,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,n_modes_2017,n_modes_2018,modality_mismatch,max_mode_shift,max_mode_mass_shift,zero_frac_2017,zero_frac_2018,zero_frac_delta,tail_wasserstein_qn,quadrant,imp_rank_delta_L
Fwd Packet Length Mean,0.0024319942488471064,0.03456476252063399,0.010881096238248776,0.003480126248992097,36,5,0.01849837838474055,20.5,2.2273621498103414e-05,6.221992416403089e-05,19,15,4.224677283106715e-05,17.0,1.280312540429873e-05,1.0296640490363618e-05,0.694041875,0.3575382784394442,0.5237722112738173,0.4987413607210595,0.4674062410147833,0.5325937589852168,shifted,True,2,12057.0,8410.429869225361,30697.91979582356,0.11127622368111839,0.028663993383792885,0.1863,0.10566682855300674,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.6309978393039368,0.7407414287351382,0.34376551623076523,0.9049559599712158,0.677781875,0.9545412500000001,0.9994820457804388,1.0,8.373804927592895,0.9795057271395421,18.161340456396477,0.8338192607340205,shape_change,6.0,4.333333333333343,33.94545454545455,p75,4.0,4.0,False,0.4987413607210595,0.50632,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.08323894329471647,Q1_good,31
Fwd Packet Length Min,0.01235402952470893,0.00030116368641342406,0.009358647193123803,0.001534176359476967,15,51,0.006327596605561177,33.0,3.159013239124597e-05,0.00010875560151668203,16,10,7.0172866953964e-05,13.0,2.6863511865918507e-06,2.1038530878709155e-06,0.5688875,0.09628641689491094,0.5229544979076985,0.08268807721798355,0.2594644181217405,0.7405355818782595,restructured,False,0,132.0,1226.6129535872371,564.6713906931673,0.16349359346796732,0.0064482674193888645,0.0922,0.5631573112427561,0.5218132726337644,0.604501349851748,0.08268807721798355,0.487865602868228,0.3042264613803937,0.26323110757619494,-0.0028730082570630764,0.642880625,0.50025,0.002037162530837739,0.8,0.0018679154080399607,0.8436900745150405,-1.215961101313954,0.869854601538249,shape_change,0.0,0.0,-4.0,p75,2.0,3.0,True,,,0.5218132726337644,0.604501349851748,0.08268807721798355,0.05687811729058647,Q1_good,-36
Fwd Packet Length Std,0.00788643627893873,0.010598674638538554,0.01957328535814041,0.09411124200546021,19,12,0.009242555458738642,15.5,5.354629459615919e-06,1.3836919044962758e-05,33,37,9.595774252289339e-06,35.0,1.1371755666186597e-05,1.0114882555433464e-05,0.6926737499999999,0.3715169591705515,0.5110031137922156,0.45026815278379856,0.17771420217723038,0.8222857978227696,shifted,False,0,15039.0,24058.086029966897,70031.46194357984,0.2314756961784809,0.03094726747006904,0.2021,0.5310497929155493,0.6034438751214309,0.4586557107096678,0.14478816441176312,0.3019054785727637,0.5886418590923272,0.31034577420288867,0.8156872827692471,0.66799,0.9120775,1.0,1.0,0.6064973588886682,0.8788011944203206,33.42469666886966,0.827125053763909,shape_change,0.0,23.11493023999856,73.05663054855036,p75,3.0,3.0,False,0.45026815278379856,0.43344000000000005,0.6034438751214309,0.4586557107096678,0.14478816441176312,0.09714464562322812,Q1_good,7
Fwd Packet/Bulk Avg,0.00034983128283305265,0.0005928703271916519,0.0013824184674331417,0.0002948095056163991,57,43,0.0004713508050123523,50.0,0.0,5.170630816841992e-06,48,47,2.585315408420996e-06,47.5,0.0,0.0,0.5212393750000001,0.028789905306665486,0.5070473138449292,0.3014305378263825,0.0002129632226983552,0.9997870367773016,weak,False,0,32.0,23.756283861096282,585839.7892877492,0.4606732195660978,0.0009391567705316906,0.0345,0.9760333348223535,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.016387567297241806,0.005018198328167362,0.03349390511110982,0.004987887498269561,0.5222200000000001,0.50425125,0.038585321708306974,0.6,0.0,,,,identical,0.0,0.0,0.0,none,2.0,3.0,True,,,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.3014305378263825,Q3_noise,14
Fwd RST Flags,0.0004025800076925227,7.70083208235266e-05,0.010724366628122593,0.00201203423093531,54,59,0.00023979416425802465,56.5,0.0,5.860048259139402e-06,58,46,2.930024129569701e-06,52.0,0.0,2.9045673123807232e-06,0.56964125,0.11634780053412658,0.5129772208340206,0.1617640689986424,-0.068890189854455,1.068890189854455,flipped,True,1,21.0,0.7543616178829536,0.16805645839870356,,,,0.8075878255905875,0.8237152136231166,0.7914604375580583,0.03225477606505833,0.1337713364800692,0.05341033056385417,0.16463763379936383,0.44182057085782633,0.5958406250000001,0.7312675000000001,0.9293311814097402,1.0,,0.5156657963446476,0.0718015665796345,0.6445822454308094,shape_change,0.0,0.0,0.0,none,2.0,1.0,True,,,,,,,Q3_noise,-5
Fwd Seg Size Min,0.010461873475138323,0.010872197950595137,0.009735299279471407,0.05077390841967171,18,11,0.01066703571286673,14.5,5.115859474269513e-06,0.0003740023014864165,34,4,0.00018955908048034302,19.0,1.0921177653544732e-05,3.5348521030925545e-05,0.700080625,0.370453498573467,0.5235945647852988,0.18971370106850532,0.4967123534433096,0.5032876465566904,restructured,False,0,9.0,99.99096405107825,51.40295930749872,0.18971370106850532,0.022371155477766136,0.2065,0.00555878419994761,0.0044562753576258595,0.006661293042269361,0.0022050176846435017,0.577765054504003,0.4549524720767749,0.3679164594958015,0.5703522974377999,0.69415625,0.790945625,1.0,0.8,0.0391465405308269,0.5684105630293972,6.071416708188002,0.6858441372556088,shape_change,0.0,0.0,-4.0,p75,1.0,3.0,True,,,,,,,Q1_good,7
Fwd URG Flags,3.702015651301489e-05,9.788995556300261e-05,9.597671033133251e-06,4.093859651316857e-05,67,56,6.745505603800874e-05,61.5,0.0,-1.7235436056880122e-07,61,66,-8.617718028440061e-08,63.5,0.0,9.281566368912791e-07,0.5,0.0,0.5,0.003385967136072697,1.488212578221045e-06,0.9999985117874218,weak,False,0,2.0,0.0026856760102659063,0.0005588040840572558,,,,0.999971368875063,0.9999557134421608,0.9999870243079652,3.131086580432374e-05,0.0,0.004609236189294131,0.0,0.0,0.5,0.5,0.0,0.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,11
ICMP Code,5.9109893554192484e-05,3.6926526926904255e-05,3.3819304555254316e-05,0.0002555300693725458,66,61,4.801821024054837e-05,63.5,1.0769363315121794e-05,0.0002637021716649368,25,5,0.0001372357674900293,15.0,0.0,0.0,0.5,0.0,0.5,0.021451724673566663,0.0005707884488350536,0.9994292115511649,weak,False,0,6.0,0.007101688441790365,0.017778572945287705,,,,0.0007691257289967211,5.5715346958989694e-05,0.0014825361110344525,0.0014268207640754627,0.01553033588921659,0.03675312967515259,-0.0022459783099045613,0.0,0.5005,0.5,0.0,0.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q2_fragile_shortcut,5
ICMP Type,0.00010891373525109005,4.175567051208927e-06,2.645248573474195e-05,5.6653743478397074e-05,64,67,5.654465115114949e-05,65.5,-1.4096853395706432e-06,0.0,65,57,-7.048426697853216e-07,61.0,0.0,0.0,0.50175,0.0035000000000000586,0.5,0.020206550551880857,0.0006216142441069554,0.999378385755893,weak,False,0,5.0,0.008531514409244973,0.13750332594088546,,,,1.3275021964691234e-05,1.9524181412979296e-05,7.025862516403173e-06,1.2498318896576122e-05,0.0159430618457646,0.03898964014067926,-0.002338514746855208,0.0,0.5005,0.5,0.0,1.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,-3
Idle Mean,0.0010560305185540397,9.363362508877617e-05,0.0006452061919010088,0.0007524498312441691,44,58,0.0005748320718214079,51.0,1.0769363315121794e-06,8.617718028144002e-07,37,55,9.693540671632899e-07,46.0,3.230808994536538e-06,2.344272752257763e-06,0.570485,0.11069070030683573,0.5170240543439788,0.49657118100318076,0.019110796767114555,0.9808892032328854,shifted,False,0,22273.0,193020798730733.28,493446002481297.5,0.31285082705413536,0.0001178913148578431,0.0717,0.7766620713061455,0.77757623954742,0.7757479030648711,0.0018283364825488757,0.10505529003164549,0.12794506894701352,0.15008343882618583,0.12224920581677046,0.5886168749999999,0.569831875,0.5562615335488861,0.6,0.03065366284668403,1.6474164213726146,2071672.3063091638,0.7620240539940696,shape_change,0.0,0.0,0.0,none,4.0,4.0,False,0.49657118100318076,0.24743999999999997,0.77757623954742,0.7757479030648711,0.0018283364825488757,0.18624319531597658,Q3_noise,-14
Idle Std,0.0001362417418242239,2.065757151403087e-05,0.0007514078748178452,9.728241366426614e-05,62,63,7.844965666912738e-05,62.5,0.0,0.0,38,58,0.0,48.0,0.0,0.0,0.5045599999999999,-0.020328072009776037,0.5144306879412672,0.058991651158255796,0.013665101223158232,0.9863348987768418,stable,False,0,11170.0,7089625593598.514,18347886245610.08,0.40220451412257063,9.090309940540386e-05,0.0239,0.8886568339723235,0.8950503819120365,0.8822632860326106,0.012787095879425836,0.0746711621603974,0.08171391636864614,-0.022440448858093397,0.0011720204987406085,0.49799437500000004,0.5039981250000001,0.024628332713268173,0.4,0.016781590843006084,4.102576685816853,-26167.799334700234,0.9751339157970331,scale_change,0.0,0.0,0.0,none,3.0,4.0,True,,,0.8950503819120365,0.8822632860326106,0.012787095879425836,0.058991651158255796,Q3_noise,-1
PSH Flag Count,0.04240003431278678,0.0008921278623046063,0.027200983565904394,0.02915269269311965,5,39,0.021646081087545694,22.0,0.00012573655103370978,1.5167183729673332e-05,7,35,7.045186738169156e-05,21.0,1.4402866579007122e-05,6.798718691266502e-06,0.6319125000000001,0.22343849067319418,0.526003419459855,0.3864314541405016,0.11441330843116093,0.8855866915688391,shifted,False,0,179.0,796.4011385461553,214.4061609150962,0.26086338261691305,0.04454080577767594,0.1841,0.541742279166322,0.621928036724509,0.4615565216081351,0.16037151511637393,0.24206160409044075,0.4726619443057687,0.26153102995605393,0.4302209731109266,0.6421043750000001,0.7320500000000001,0.9006894279651533,1.0,0.5995040812363543,0.8453852684765278,2.0656471530236833,0.7445351580129871,shape_change,0.0,2.0,8.0,p75,4.0,4.0,False,0.3864314541405016,0.4474600000000001,0.621928036724509,0.4615565216081351,0.16037151511637393,0.18908645233226165,Q1_good,-34
Packet Length Max,0.001330596756057125,0.022175449982653164,0.020972321480536103,0.03337973198370839,43,7,0.011753023369355145,25.0,1.0051405760780342e-05,0.00015310590332204093,28,8,8.157865454141064e-05,18.0,2.686351186591851e-06,8.670184103529591e-06,0.784796875,0.5483484623316922,0.5235195564460916,0.08056337863818137,0.7517681806047963,0.24823181939520367,restructured,True,1,2668.0,5136595.550880364,1070569.4833012682,0.08197083485417427,0.030695649966337557,0.1901,0.10364867125920604,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.8504130249371653,0.8840036059658687,0.3971234976881978,0.9899661611270758,0.711396875,0.99512625,1.0,1.0,5.333865716957789,0.22085395040973285,280.15198365565703,0.6890208033711167,shape_change,11.0,32.0,-287.0,p75,4.0,3.0,True,,,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.06308706683533417,Q1_good,36
Packet Length Mean,0.001406906268371468,0.0038959750319684638,0.010737105688938082,0.04849151047075231,42,25,0.0026514406501699657,33.5,7.179575543414529e-06,3.7573250603188206e-05,32,19,2.2376413073301368e-05,25.5,5.076726552789506e-06,1.116451895256216e-05,0.716889375,0.4010737163064774,0.527303054302304,0.08056337863818137,0.6743808534609435,0.32561914653905655,restructured,True,1,18844.0,86133.49084332617,16499.76135670308,0.055997232586162946,0.05398391416355719,0.1736,0.10364867125920604,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.8381636918805696,0.8045932554628438,0.30289128973178164,0.9837998818254671,0.67445375,0.9922343750000001,1.0,1.0,5.185461402156588,0.2748419839677156,49.984030744369555,0.7399357086069853,shape_change,2.0,-2.5,-60.139607279693536,p75,4.0,3.0,True,,,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.07817576887884439,Q1_good,17
Packet Length Min,0.01852325487132555,2.5960428280088882e-05,0.015687131163159337,0.000547561980430313,10,62,0.00927460764980282,36.0,3.123115361407525e-05,0.00010841089279555553,17,11,6.98210232048154e-05,14.0,3.2308089945365385e-06,9.281566368912792e-07,0.5687506250000001,0.09438576754065599,0.523804552155865,0.08163126129077836,0.25935535924547093,0.7406446407545291,restructured,False,0,119.0,683.2373230174418,552.7513611245055,0.16427518047590237,0.0022464652836273746,0.0978,0.5640532161232078,0.5232375854778186,0.604868846768597,0.08163126129077836,0.486923116166654,0.3039553430641817,0.2032428838142125,-0.0016912348406629477,0.624244375,0.5,0.004959059079197702,0.6,0.0,0.8432828874962038,-1.2295201222718197,0.8697059191498919,shape_change,0.0,0.0,-4.0,p75,4.0,2.0,True,,,0.5232375854778186,0.604868846768597,0.08163126129077836,0.056175671578357886,Q1_good,-52
Packet Length Std,0.006054858173535571,0.0039352475876168755,0.010516208142531692,0.0118161163225125,23,24,0.004995052880576223,23.5,5.26627863373134e-05,2.9644950017197284e-05,11,24,4.115386817725534e-05,17.5,1.9764920300973326e-05,3.990291934772605e-06,0.7679162500000001,0.5187979085243495,0.5177000388998856,0.4968001055203635,0.6982382312387725,0.3017617687612275,shifted,True,1,22984.0,438408.14289597416,57379.7417088597,0.09996121020605106,0.04383988037131514,0.1904,0.11994191882451521,0.16934417798434256,0.07053965966468786,0.0988045183196547,0.8290653520559661,0.8421992663271229,0.41971177733060944,0.9821534314627134,0.7222700000000001,0.9915787500000001,1.0,1.0,7.483671516625529,0.23827576970486017,78.80217334076012,0.7933255629013678,shape_change,10.503061344987378,20.63719084252456,-146.53937619648758,p75,4.0,4.0,False,0.4968001055203635,0.28348,0.16934417798434256,0.07053965966468786,0.0988045183196547,0.07458472352361763,Q1_good,-1
Packet Length Variance,0.004855655982483964,0.0012467937559022715,0.004007882281296229,0.01949271418627585,29,35,0.003051224869193118,32.0,4.4453263973620594e-05,8.617718027847943e-07,12,56,2.2657517888202693e-05,34.0,2.2674234793302348e-05,5.18497378715792e-06,0.785004375,0.549233171029985,0.5230447069691068,0.49696229557019644,0.6981158331896401,0.3018841668103599,shifted,True,1,23264.0,2439916449841.937,2392796799594.375,0.09845970569852851,0.049253179896806554,0.1926,0.11994191882451521,0.16934417798434256,0.07053965966468786,0.0988045183196547,0.8290203885408988,0.8420973028399764,0.4262919374309308,0.9813254644235592,0.7196843749999998,0.9908800000000001,0.9994832177197664,1.0,7.237682870856856,0.05926845593623769,24168.945867182905,0.8665234221023594,shape_change,384.0,2634.4636363636364,-111763.61994152048,p75,4.0,4.0,False,0.49696229557019644,0.28334000000000004,0.16934417798434256,0.07053965966468786,0.0988045183196547,0.07482114070570352,Q1_good,-6
RST Flag Count,0.36040217379341866,0.0003170455576532928,0.0016123155136433215,0.0005736445095965925,1,49,0.18035960967553596,25.0,0.005456332622092616,0.0,2,64,0.002728166311046308,33.0,0.00014161547614453075,0.0,0.5942537499999999,0.15883187651812455,0.517639531654527,0.15398809033860153,-0.10531567369594094,1.1053156736959409,flipped,True,3,21.0,0.8633415800986646,0.2772441966792519,,,,0.6789009748600803,0.7092063658355398,0.6485955838846209,0.060610781950918846,0.46459073853047966,0.026854824054313355,0.26715087337056515,0.8103071476920007,0.6443049999999999,0.909440625,0.95110376149226,1.0,,0.5839694656488553,0.13358778625954207,0.6521702791552906,shape_change,0.0,0.0,0.0,none,2.0,2.0,False,,,,,,,Q2_fragile_shortcut,-48
SYN Flag Count,0.12217739092593093,0.0007386742597351334,0.0584298589343456,0.028058201172470425,2,41,0.06145803259283303,21.5,0.0001794893885872802,1.9476042743834152e-05,5,29,9.948271566555718e-05,17.0,1.972750877922737e-05,4.563323783164875e-06,0.5886931249999999,0.12125868472467691,0.5319363413894664,0.4255474557372787,0.2278070195764453,0.7721929804235547,restructured,False,0,15.0,1.1383761288000533,2.6086224880205866,0.2549040013200066,0.004546201155645635,0.1217,0.48125460209916193,0.5074729994857045,0.45503620471261946,0.052436794773084994,0.5559973913694136,0.3569826836385718,0.17188244751897808,0.3447792611013028,0.60123125,0.6830506250000001,0.6882805286106137,1.0,0.16292887760980365,0.8719597989949753,0.2806030150753769,0.7627670110990523,shape_change,0.0,2.0,0.0,p50,3.0,2.0,True,,,0.5074729994857045,0.45503620471261946,0.052436794773084994,0.4255474557372787,Q1_good,-39
Subflow Bwd Packets,0.0,1.9926983139565058e-07,0.0,3.52127025666283e-08,71,70,9.963491569782529e-08,70.5,0.0,0.0,46,61,0.0,53.5,0.0,0.0,0.501,0.00032717295763893205,0.5008366872626269,0.016324538479635352,0.0,1.0,weak,False,0,2.0,1.5714338091532064e-05,0.0008659933337284196,,,,0.9995587704175326,0.9999842854149603,0.9991332554201048,0.0008510299948555344,0.0,0.004280400240513416,0.0024999999999999467,0.0,0.50125,0.5,0.0,1.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,1
Subflow Fwd Packets,0.0025965103169838123,9.674726323462179e-06,4.2650657836910914e-05,0.00016402004186905848,34,66,0.0013030925216536372,50.0,0.0,0.0,49,60,0.0,54.5,0.0,0.0,0.5087499999999999,-0.0017289645998012663,0.5095978878915033,0.03580608751416624,0.0004879924016304407,0.9995120075983696,weak,False,0,2.0,0.025533887300728416,0.01227529536835648,,,,0.9806743764931681,0.9737785481628222,0.9875702048235141,0.013791656660691931,0.020127915736239718,0.0034488978323383387,-0.006324167736018516,0.042566971812080384,0.5032500000000001,0.53025,0.3771975674887945,0.0,,0.5000000000000001,-1.0733490286031426e-18,0.4948979591836735,shape_change,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,-32
Total Bwd packets,0.004531900489093882,0.0032600776483295755,0.002790942397361751,0.00604307889357661,31,27,0.003895989068711729,29.0,0.0,8.790072388753512e-06,40,43,4.395036194376756e-06,41.5,0.0,8.13724345681722e-06,0.7243418749999999,0.4234764114548224,0.5218614979907298,0.47036821723216715,-0.16183401397358704,1.161834013973587,flipped,False,0,379.0,1340918.0318528705,39322.25179732757,0.09323352506762536,0.014076847380478208,0.1511,0.01932562350683186,0.02622145183717785,0.012429795176485868,0.013791656660691983,0.32962649398392113,0.49096179138282847,0.47577854944286685,0.8484990547158469,0.746985,0.929339375,1.0,1.0,0.19498341054334434,0.6865137568014832,1.6420324337855674,0.9457619055807802,shape_change,-1.0,2.0,1.0,p50,4.0,4.0,False,0.47036821723216715,0.276,,,,,Q3_noise,4
Total Fwd Packet,0.00232989148638674,0.00035369392287101754,0.054356158095647956,0.0019846684275640317,38,47,0.0013417927046288788,42.5,2.294841196981423e-06,1.5511892450377947e-06,36,54,1.923015221009609e-06,45.0,6.88452359094427e-06,5.52878832552703e-06,0.705940625,0.39497068386281486,0.5139749973151307,0.49789214832746637,0.10986527004484054,0.8901347299551594,shifted,False,0,306.0,757522.9941984515,598269.6840980797,0.07964415562077812,0.006508875870108399,0.1326,0.00044122958246745595,1.5714585039715043e-05,0.0008667445798951969,0.0008510299948554818,0.24572658562937888,0.44710371799389514,0.4507693983940496,0.953716929971179,0.7407818749999999,0.977935625,0.9989112568617158,0.8,0.10661832023186328,0.6436131953639679,1.8321754150796394,0.90451640449178,shape_change,-1.0,3.0,1.0,p50,4.0,4.0,False,0.49789214832746637,0.37182,,,,,Q2_fragile_shortcut,-9
Total Length of Bwd Packet,0.00473170709063634,0.007500475137590925,0.008926617147904777,0.004529830668017008,30,15,0.006116091114113632,22.5,2.800034461953871e-05,4.567390554975163e-05,18,17,3.683712508464517e-05,17.5,1.0254484978207804e-05,7.67896222334257e-06,0.7772175000000001,0.5398489082001412,0.5158492417597079,0.08895392876964384,0.743617578770242,0.25638242122975796,restructured,False,0,8464.0,6903299680238.96,79847640937.31003,0.06614167210836054,0.019641392514330835,0.18,0.12603809716366432,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.8627882296106749,0.8618772872061462,0.5201961944186408,0.983611373587189,0.7682125,0.9923,1.0,1.0,3.6955666122027124,0.3227533376695902,106.67223841157815,0.9672183538314038,shape_change,-21.0,12.0,-2309.0,p75,3.0,4.0,True,,,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.08895392876964384,Q1_good,15
Total Length of Fwd Packet,0.005527530025070372,0.008772881732111607,0.033923889363407844,0.011636870018500405,25,14,0.00715020587859099,19.5,1.2923235978220168e-05,1.154774215779882e-05,24,40,1.2235489068009493e-05,32.0,8.967286979683655e-06,8.085973185624765e-06,0.790595625,0.5532597429336185,0.5312614619172671,0.4953300687553805,0.5943966157238596,0.4056033842761404,shifted,False,0,4328.0,109449273.92929378,2538194538.165795,0.08026324571622857,0.01648772768926987,0.1639,0.10566682855300674,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.7445566707420077,0.798322866587842,0.6326261411834874,0.6636513339751379,0.8250681249999999,0.8418206249999999,0.9942056521111157,1.0,6.870766075435428,0.7328781642589234,199.3078748906543,0.8574993298003705,shape_change,-7.0,17.0,674.0,p75,4.0,4.0,False,0.4953300687553805,0.4075,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.08678759653798268,Q1_good,11
Total TCP Flow Time,0.00781935138238579,0.006700283086512232,0.027528886489183665,0.0181219126159087,20,16,0.0072598172344490106,18.0,-1.988862370736477e-05,1.4994829369126735e-05,70,36,-2.446897169119018e-06,53.0,7.800960029412082e-06,6.853118011755312e-06,0.6777412500000001,0.3179040995889008,0.5275462734700874,0.3331975730175653,0.5718797994384524,0.42812020056154765,shifted,False,0,49027.0,1.4754981861960566e+17,2.5568501684104013e+18,0.1635261790308951,0.020916106877026275,0.1834,0.4373210100073154,0.47677098611402124,0.3978710339006095,0.07889995221341173,0.7714503994927233,0.7413046902490412,0.27339329595289147,0.7971770848041935,0.6512287500000001,0.902435,1.0,1.0,0.6794138213408594,2.0599701620181325,-319418.9380066343,0.8453009320647178,shape_change,0.0,150049.5,2923789.25,p75,4.0,4.0,False,0.3331975730175653,0.13234,0.47677098611402124,0.3978710339006095,0.07889995221341173,0.09381717588587941,Q4_underused_stable,4
